,pc,pt,B,log pc,log pt,sqrt inv pc,sqrt inv pt,nc,nr,Br,l1,l2,ldist,fcontrac,fexpand,lsp,dmax_psD,dmax_sD,nn_dist_sD,nn_dist_nsD,nn_diff_n,nn_dist_psD,nn_dist_npsD,dpt_corr,exp_corr,or_exp_corr,trajectory type
322,0.55,0.0009090909090909091,0.0005,-0.5978370007556204,-7.003065458786462,1.348399724926484,33.166247903554,227,223.2511013215859,50678,0.181,0.05,1.8272572252833506,0.46013800631554325,0.539394175665666,0,27.34922819992831,390.1753120742801,23.740558505799818,0.06084587561316585,0.2889285191143809,1.8479947426569645,0.06757027032528137,0.9125239937832718,0.7279380996906978,0.8292541368358227,hayashi
323,0.84,0.0005952380952380953,0.0005,-0.1743533871447778,-7.426549072397305,1.0910894511799618,40.98780306383839,347,145.835734870317,50605,0.188,0.053,1.9416705894188362,0.41656810647831954,0.5831320484416385,0,22.234083334033663,413.14563246397654,22.132555333376345,0.05357083215760764,0.3199499385193305,1.3915845418776542,0.06258789809191544,0.8676043024514786,0.8595433260140432,0.868021218659797,hayashi
324,0.03,0.016666666666666666,0.0005,-3.506557897319982,-4.0943445622221,5.773502691896258,7.745966692414834,12,4200.416666666667,50405,0.153,0.042,1.5804279974509408,0.3484848484848485,0.6363636363636364,0,110.54807079265876,313.6292849225959,51.84221784365797,0.16529775864665405,0.28263091439261323,33.483862666589616,0.3028896155898652,0.9292912201758441,0.6934079721140022,0.6873579039421684,hayashi
325,0.05,0.01,0.0005,-2.995732273553991,-4.605170185988091,4.47213595499958,10.0,20,2495.2,49904,0.134,0.032,1.6001966613073633,0.38421052631578945,0.6105263157894737,0,92.69323897257196,392.3914432467804,48.797912412220924,0.12436028678008468,0.20109459317982475,16.515255841107567,0.17817109450662794,0.92892645452331,0.6966830090841722,0.7429645480339084,hayashi
326,0.07,0.007142857142857143,0.0005,-2.659260036932778,-4.941642422609305,3.779644730092272,11.832159566199232,28,1792.5357142857142,50191,0.144,0.036,1.5450041141000352,0.6031746031746031,0.3968253968253968,0,89.89742743698156,350.6145388847952,37.46274985714933,0.10684882029224359,0.16678126709826574,11.437503940942717,0.12722837868703699,0.948880645176387,0.8265354045179244,0.7832325585605793,hayashi
327,0.1,0.005,0.0005,-2.3025850929940455,-5.298317366548036,3.1622776601683795,14.142135623730951,41,1247.2439024390244,51137,0.15,0.035,1.590335427600766,0.5756097560975609,0.42317073170731706,0,70.97511012731704,372.6818619621366,33.321125842932986,0.08940903554441917,0.14430559379041938,7.990014769111035,0.11257488371315429,0.9394464454754308,0.8095150641642089,0.8114565853986713,hayashi
328,0.16,0.003125,0.0005,-1.8325814637483102,-5.768320995793772,2.5,17.88854381999832,66,765.6969696969697,50536,0.177,0.052,1.8051928788034914,0.4773892773892774,0.5216783216783217,0,64.16987967095037,392.4974616064741,27.13279544426688,0.06912858833077186,0.21400698158833803,4.769449975319672,0.0743253688455769,0.9505898537425734,0.7071547037213821,0.7700175690042088,hayashi
329,0.24,0.0020833333333333333,0.0005,-1.4271163556401458,-6.173786103901937,2.041241452319315,21.908902300206645,99,515.7171717171717,51056,0.148,0.035,1.6840967778606912,0.5139146567717996,0.4850546279117708,0,43.468394533395575,413.14563246397654,26.844062467551595,0.06497481846160436,0.18198999210143912,3.403606344445074,0.07830071436915337,0.9470933662257457,0.7987430626854852,0.7676342473973852,hayashi
330,0.36,0.001388888888888889,0.0005,-1.0216512475319814,-6.579251212010101,1.6666666666666667,26.832815729997478,149,341.26174496644296,50848,0.185,0.054,1.9039519794042288,0.6190821694177399,0.3802829675312897,0,52.873737590052876,399.43446452779926,24.55581783419329,0.06147646238594488,0.2211579544516065,2.4659597533443374,0.046638650221093085,0.9410298048631737,0.7370340167019711,0.8066961793296217,hayashi
331,0.55,0.0009090909090909091,0.0005,-0.5978370007556204,-7.003065458786462,1.348399724926484,33.166247903554,227,220.51101321585904,50056,0.191,0.057,1.957228700222372,0.4607227788390316,0.5388873728119762,0,28.794100574110875,413.14563246397654,23.219024042330002,0.056200579693540725,0.29632069014415985,1.8604752479565887,0.06461307041586722,0.9165611183231068,0.7614345605140823,0.7974192734656798,hayashi
