,pc,pt,B,log pc,log pt,sqrt inv pc,sqrt inv pt,nc,nr,Br,l1,l2,ldist,fcontrac,fexpand,lsp,dmax_psD,dmax_sD,nn_dist_sD,nn_dist_nsD,nn_diff_n,nn_dist_psD,nn_dist_npsD,PC1_err,PC2_err,PC3_err,PC4_err,PC5_err,PC6_err,PC7_err,PC8_err,PC9_err,PC10_err,reach,density,pdensity,proj_err,trajectory type
27,0.549,1.0,-1,-0.5996568374726063,0.0,1.34962721696486,1.0,194,133641.5618556701,25926463,0.081,0.013,1.2524035888801421,0.4291971582714599,0.5694140270284707,0,331.5593037412982,379.64332705479444,13.087703805101286,0.034473683250627295,0.012610982616888464,14.1992252856514,0.042825597488678695,0.1138675329133764,0.23112077286461985,0.23661798905862766,1.963810315267982,1.9507186456080339,0.6228145400841799,0.7923307559664073,0.8584167371583887,1.8575045177172835,1.589885072849046,1.1304629265983075,39.04381760365254,33.110693759959425,0.03816596718481459,fibroblasts
28,0.696,1.0,-1,-0.3624056186477175,0.0,1.1986582537134605,1.0,247,134546.57085020244,33233003,0.052,0.005,1.1784274762412679,0.703795135117343,0.29488825252624995,0,446.96616801301576,406.711660802673,12.964328311903957,0.031875969049714424,0.0026587854007997782,13.578653415919877,0.030379600040610823,0.0808692721157343,0.16773159941101554,0.19038139113210556,0.2074670296362558,0.33782005577550955,0.359651295113352,0.5817670805031113,0.6017363367038556,1.9247418618514847,0.5379785146923308,2.116388568757312,32.1951699415164,32.327755436110905,0.02253619619782263,fibroblasts
29,0.88,1.0,-1,-0.12783337150988489,0.0,1.0660035817780522,1.0,312,134089.9391025641,41836061,0.054,0.006,1.1653392001122354,0.3654464506554539,0.6328633852749609,0,457.2418688751529,406.711660802673,11.994590877267013,0.02949163260673391,0.003051275537233018,12.247799696101152,0.026786260248283036,0.04276967300257303,0.10812890746332907,0.11231231500636593,1.9914888292112332,0.2920953538770261,0.30881722199272904,0.26797515119159326,0.23190684322292807,0.2418875126433427,0.36518048212840276,2.244407510770413,32.249734790821655,33.44194269556176,0.012529857867426275,fibroblasts
30,0.032,1.0,-1,-3.4420193761824103,0.0,5.5901699437494745,1.0,11,133215.0,1465365,0.171,0.045,1.543244585564069,0.5272727272727272,0.4727272727272727,0,602.4984531127847,323.14006025493495,68.58426819259886,0.21224316210899585,0.10883939598360906,111.9734433937475,0.1858485159841342,1.2227809813384765,1.6052507391506965,1.5825873619664244,1.5488877333844508,1.4244546204555943,1.4825281127336667,1.4941162835397985,1.3613947237952764,1.4592692848357978,1.4292354006765682,1.334820876140362,141.57161351582184,128.84013847998114,0.07252542258390353,fibroblasts
31,0.041,1.0,-1,-3.1941832122778293,0.0,4.938647983247948,1.0,14,136326.07142857142,1908565,0.244,0.091,1.9519600265599326,0.10989010989010989,0.8901098901098901,0,219.18145986073336,344.6929553087387,62.95246717425134,0.18263346031503702,0.3721141141275109,79.5597207411054,0.362985632049614,0.7160939603497218,0.8061047261140121,0.8644993870379709,1.3615858558015537,1.425692376904644,1.5598712705085098,1.4456745153376083,1.4250228399502178,1.2141454295392273,1.4048033554594717,1.0004467781837938,143.51675836950375,111.37301025645425,0.06661437314999528,fibroblasts
32,0.052,1.0,-1,-2.9565115604007097,0.0,4.385290096535146,1.0,18,122231.5,2200167,0.133,0.032,1.5070122434046898,0.3006535947712418,0.6993464052287581,0,286.31449252498544,319.2111786145483,34.66763564514798,0.10860407770057956,0.1865209468919364,58.00885344497951,0.20260536912890406,0.5231573383886576,1.5753215614864515,1.2535460501646316,1.5251536166773232,1.3334394440275932,1.5477104965533177,1.3456475268205552,1.3573276800599512,1.5037333772941561,1.3810713544036506,1.3636809245150643,79.90202760637521,93.32201184827971,0.06897337046688523,fibroblasts
33,0.066,1.0,-1,-2.7181005369557116,0.0,3.8924947208076146,1.0,23,124168.0,2855864,0.145,0.036,1.660871491465858,0.17786561264822134,0.8181818181818182,0,248.98942942682427,352.7021613983221,27.702564026056706,0.07854378866357718,0.17321205304085202,46.27951790820759,0.18586940825055673,0.7598787087474467,0.6868115895208365,0.8381544778373698,1.336471167424914,1.4566709875726989,1.248962673257393,1.3548533043079813,1.3156185041691364,1.4634505924790935,1.4094839207819037,1.2432032990182105,89.59105310443408,85.8498010054986,0.05822087127964375,fibroblasts
34,0.083,1.0,-1,-2.488914671185539,0.0,3.4710506725031163,1.0,29,113615.03448275862,3294836,0.111,0.022,1.4087022801906117,0.47783251231527096,0.5221674876847291,0,307.33496486819587,330.6733452827461,27.540585938701632,0.0832863801439839,0.11761349026457231,36.68017134924967,0.11934916472969606,0.425156134935757,0.5675551015314456,0.976449073013222,1.458180606749507,1.548621469242974,1.3755706582981326,1.5050913197220939,1.403765701851187,1.507117083081773,1.4861629420917408,1.1688194608787572,101.32149145147115,84.7483982389723,0.060838654422482756,fibroblasts
35,0.106,1.0,-1,-2.24431618487007,0.0,3.071475584169756,1.0,37,137917.62162162163,5102952,0.091,0.014,1.3018354871936815,0.45795795795795796,0.5420420420420421,0,295.4192460626592,373.92878443348684,27.145781360599873,0.07259612656384967,0.06400289426731873,34.29295184371446,0.1160823213137604,0.39264534920836214,0.4439731522203973,0.6253478065229262,1.8194533027494835,1.6726634250958783,1.4281821579507499,1.3389232756117004,1.3959339800134856,1.5225733563731267,1.544656603318893,1.4568749146308733,69.48552504112448,87.02662537539901,0.06238126095605655,fibroblasts
36,0.134,1.0,-1,-2.0099154790312257,0.0,2.731791823540765,1.0,47,135521.02127659574,6369488,0.095,0.018,1.3216872278764882,0.5633672525439408,0.4357076780758557,0,333.4037315399441,368.65090758069135,22.576464284979036,0.061240766862990646,0.03641788685788715,27.82455468829031,0.0834560385985264,0.27686000085295576,0.43599612169493646,0.6246336043249926,1.835425374342492,1.706104979665872,1.219837284186414,1.2027881083694025,1.2860067801130204,1.5451513292837424,1.4599755492383584,1.2695780385399242,53.693292982632286,63.61155829930511,0.055806614419132164,fibroblasts
